bit,ndummy,ndummy_effective,iters,rc5,miss_per_iter,seconds
2,65,67,2000000,4847,0.002423500,
2,66,68,2000000,4743,0.002371500,
2,67,69,2000000,4402,0.002201000,
2,68,70,2000000,4222,0.002111000,
2,69,71,2000000,5483,0.002741500,
2,70,72,2000000,4240,0.002120000,
2,71,73,2000000,5117,0.002558500,
2,72,74,2000000,4128,0.002064000,
2,73,75,2000000,4092,0.002046000,
2,74,76,2000000,4071,0.002035500,
2,75,77,2000000,4102,0.002051000,
2,76,78,2000000,4239,0.002119500,
2,77,79,2000000,4133,0.002066500,
2,78,80,2000000,4274,0.002137000,
2,79,81,2000000,4359,0.002179500,
2,80,82,2000000,4289,0.002144500,
2,81,83,2000000,3984,0.001992000,
2,82,84,2000000,5087,0.002543500,
2,83,85,2000000,4427,0.002213500,
2,84,86,2000000,5732,0.002866000,
2,85,87,2000000,5334,0.002667000,
2,86,88,2000000,4487,0.002243500,
2,87,89,2000000,4392,0.002196000,
2,88,90,2000000,4264,0.002132000,
2,89,91,2000000,4316,0.002158000,
2,90,92,2000000,4332,0.002166000,
2,91,93,2000000,4320,0.002160000,
2,92,94,2000000,4331,0.002165500,
2,93,95,2000000,4333,0.002166500,
2,94,96,2000000,4598,0.002299000,
2,95,97,2000000,5694,0.002847000,
2,96,98,2000000,4260,0.002130000,
2,97,99,2000000,1003482,0.501741000,
2,98,100,2000000,1003543,0.501771500,
2,99,101,2000000,1003056,0.501528000,
2,100,102,2000000,1003719,0.501859500,
3,65,67,2000000,4024,0.002012000,
3,66,68,2000000,4375,0.002187500,
3,67,69,2000000,4103,0.002051500,
3,68,70,2000000,4377,0.002188500,
3,69,71,2000000,4178,0.002089000,
3,70,72,2000000,4286,0.002143000,
3,71,73,2000000,4021,0.002010500,
3,72,74,2000000,4199,0.002099500,
3,73,75,2000000,4700,0.002350000,
3,74,76,2000000,4077,0.002038500,
3,75,77,2000000,4335,0.002167500,
3,76,78,2000000,4458,0.002229000,
3,77,79,2000000,4418,0.002209000,
3,78,80,2000000,4172,0.002086000,
3,79,81,2000000,4206,0.002103000,
3,80,82,2000000,4564,0.002282000,
3,81,83,2000000,4040,0.002020000,
3,82,84,2000000,4369,0.002184500,
3,83,85,2000000,4422,0.002211000,
3,84,86,2000000,4280,0.002140000,
3,85,87,2000000,4583,0.002291500,
3,86,88,2000000,4279,0.002139500,
3,87,89,2000000,4225,0.002112500,
3,88,90,2000000,4402,0.002201000,
3,89,91,2000000,4228,0.002114000,
3,90,92,2000000,4217,0.002108500,
3,91,93,2000000,4505,0.002252500,
3,92,94,2000000,4122,0.002061000,
3,93,95,2000000,5233,0.002616500,
3,94,96,2000000,4031,0.002015500,
3,95,97,2000000,3995,0.001997500,
3,96,98,2000000,1002650,0.501325000,
3,97,99,2000000,1002943,0.501471500,
3,98,100,2000000,1003345,0.501672500,
3,99,101,2000000,1002977,0.501488500,
3,100,102,2000000,1003598,0.501799000,
4,65,67,2000000,3846,0.001923000,
4,66,68,2000000,3846,0.001923000,
4,67,69,2000000,4011,0.002005500,
4,68,70,2000000,3861,0.001930500,
4,69,71,2000000,5010,0.002505000,
4,70,72,2000000,4167,0.002083500,
4,71,73,2000000,3900,0.001950000,
4,72,74,2000000,3766,0.001883000,
4,73,75,2000000,3959,0.001979500,
4,74,76,2000000,4002,0.002001000,
4,75,77,2000000,4002,0.002001000,
4,76,78,2000000,4916,0.002458000,
4,77,79,2000000,3958,0.001979000,
4,78,80,2000000,3983,0.001991500,
4,79,81,2000000,4966,0.002483000,
4,80,82,2000000,4823,0.002411500,
4,81,83,2000000,3969,0.001984500,
4,82,84,2000000,3885,0.001942500,
4,83,85,2000000,4098,0.002049000,
4,84,86,2000000,5134,0.002567000,
4,85,87,2000000,3880,0.001940000,
4,86,88,2000000,3858,0.001929000,
4,87,89,2000000,3823,0.001911500,
4,88,90,2000000,4114,0.002057000,
4,89,91,2000000,3873,0.001936500,
4,90,92,2000000,3991,0.001995500,
4,91,93,2000000,3869,0.001934500,
4,92,94,2000000,3803,0.001901500,
4,93,95,2000000,4039,0.002019500,
4,94,96,2000000,1023618,0.511809000,
4,95,97,2000000,1003012,0.501506000,
4,96,98,2000000,1002992,0.501496000,
4,97,99,2000000,1003365,0.501682500,
4,98,100,2000000,1003207,0.501603500,
4,99,101,2000000,1002943,0.501471500,
4,100,102,2000000,1003336,0.501668000,
5,65,67,2000000,3960,0.001980000,
5,66,68,2000000,4944,0.002472000,
5,67,69,2000000,3942,0.001971000,
5,68,70,2000000,3836,0.001918000,
5,69,71,2000000,3957,0.001978500,
5,70,72,2000000,3891,0.001945500,
5,71,73,2000000,4036,0.002018000,
5,72,74,2000000,3996,0.001998000,
5,73,75,2000000,3872,0.001936000,
5,74,76,2000000,3935,0.001967500,
5,75,77,2000000,3880,0.001940000,
5,76,78,2000000,3881,0.001940500,
5,77,79,2000000,4051,0.002025500,
5,78,80,2000000,3969,0.001984500,
5,79,81,2000000,3775,0.001887500,
5,80,82,2000000,3950,0.001975000,
5,81,83,2000000,3800,0.001900000,
5,82,84,2000000,5184,0.002592000,
5,83,85,2000000,4104,0.002052000,
5,84,86,2000000,4014,0.002007000,
5,85,87,2000000,5024,0.002512000,
5,86,88,2000000,3924,0.001962000,
5,87,89,2000000,4041,0.002020500,
5,88,90,2000000,3960,0.001980000,
5,89,91,2000000,3946,0.001973000,
5,90,92,2000000,3968,0.001984000,
5,91,93,2000000,3840,0.001920000,
5,92,94,2000000,3957,0.001978500,
5,93,95,2000000,3886,0.001943000,
5,94,96,2000000,1003696,0.501848000,
5,95,97,2000000,1003129,0.501564500,
5,96,98,2000000,1003357,0.501678500,
5,97,99,2000000,1003124,0.501562000,
5,98,100,2000000,1003215,0.501607500,
5,99,101,2000000,1003284,0.501642000,
5,100,102,2000000,1002798,0.501399000,
6,65,67,2000000,3875,0.001937500,
6,66,68,2000000,3838,0.001919000,
6,67,69,2000000,4196,0.002098000,
6,68,70,2000000,3826,0.001913000,
6,69,71,2000000,3893,0.001946500,
6,70,72,2000000,3950,0.001975000,
6,71,73,2000000,3826,0.001913000,
6,72,74,2000000,3766,0.001883000,
6,73,75,2000000,3788,0.001894000,
6,74,76,2000000,3858,0.001929000,
6,75,77,2000000,3994,0.001997000,
6,76,78,2000000,3965,0.001982500,
6,77,79,2000000,3905,0.001952500,
6,78,80,2000000,3879,0.001939500,
6,79,81,2000000,3695,0.001847500,
6,80,82,2000000,3832,0.001916000,
6,81,83,2000000,5027,0.002513500,
6,82,84,2000000,3929,0.001964500,
6,83,85,2000000,3933,0.001966500,
6,84,86,2000000,5014,0.002507000,
6,85,87,2000000,4406,0.002203000,
6,86,88,2000000,4958,0.002479000,
6,87,89,2000000,4169,0.002084500,
6,88,90,2000000,3994,0.001997000,
6,89,91,2000000,3868,0.001934000,
6,90,92,2000000,3853,0.001926500,
6,91,93,2000000,3879,0.001939500,
6,92,94,2000000,3987,0.001993500,
6,93,95,2000000,1003635,0.501817500,
6,94,96,2000000,1003915,0.501957500,
6,95,97,2000000,1002753,0.501376500,
6,96,98,2000000,1002895,0.501447500,
6,97,99,2000000,1003310,0.501655000,
6,98,100,2000000,1002769,0.501384500,
6,99,101,2000000,1002932,0.501466000,
6,100,102,2000000,1002971,0.501485500,
7,65,67,2000000,3905,0.001952500,
7,66,68,2000000,3941,0.001970500,
7,67,69,2000000,3837,0.001918500,
7,68,70,2000000,3961,0.001980500,
7,69,71,2000000,4079,0.002039500,
7,70,72,2000000,3877,0.001938500,
7,71,73,2000000,3866,0.001933000,
