inject_after,nbranches,rc5
1,1,50011
1,2,50373
1,3,100686
1,4,158637
1,5,222081
1,6,278366
1,7,312658
1,8,356734
2,1,49894
2,2,50567
2,3,108491
2,4,167193
2,5,224907
2,6,273376
2,7,310929
2,8,355467
3,1,50003
3,2,50422
3,3,102743
3,4,150818
3,5,245995
3,6,281305
3,7,311895
3,8,355558
4,1,51034
4,2,50707
4,3,104848
4,4,154631
4,5,222702
4,6,274213
4,7,311440
4,8,356889
5,1,50010
5,2,50018
5,3,104237
5,4,153441
5,5,223821
5,6,264713
5,7,311191
5,8,356494
6,1,49987
6,2,50651
6,3,50658
6,4,50719
6,5,100736
6,6,151187
6,7,204300
6,8,251481
7,1,50409
7,2,50527
7,3,106679
7,4,166134
7,5,224793
7,6,280674
7,7,311479
7,8,357922
8,1,49997
8,2,50528
8,3,49951
8,4,50037
8,5,100516
8,6,161906
8,7,204985
8,8,258013
9,1,50525
9,2,51053
9,3,104243
9,4,165025
9,5,227775
9,6,269572
9,7,311453
9,8,357795
10,1,50047
10,2,50622
10,3,102017
10,4,155822
10,5,224435
10,6,269794
10,7,311257
10,8,357549
11,1,50007
11,2,50022
11,3,50766
11,4,51073
11,5,100413
11,6,156666
11,7,205954
11,8,254625
12,1,50009
12,2,50014
12,3,50529
12,4,50574
12,5,100755
12,6,152121
12,7,205059
12,8,252892
13,1,50003
13,2,50023
13,3,100256
13,4,172646
13,5,220048
13,6,265378
13,7,311642
13,8,356740
14,1,50049
14,2,50721
14,3,101836
14,4,155033
14,5,227503
14,6,276401
14,7,310124
14,8,357434
15,1,50006
15,2,50627
15,3,100701
15,4,168601
15,5,219350
15,6,273274
15,7,307286
15,8,356743
16,1,49947
16,2,50022
16,3,49832
16,4,51080
16,5,100636
16,6,151603
16,7,218954
16,8,253146
17,1,51018
17,2,50539
17,3,108039
17,4,165315
17,5,226898
17,6,268583
17,7,307442
17,8,357779
18,1,50010
18,2,50705
18,3,107087
18,4,162098
18,5,229815
18,6,273471
18,7,308823
18,8,356314
19,1,50003
19,2,50014
19,3,100466
19,4,167449
19,5,216063
19,6,278772
19,7,313632
19,8,357646
20,1,49976
20,2,50378
20,3,100697
20,4,169931
20,5,225753
20,6,270542
20,7,312893
20,8,355972
21,1,50049
21,2,49914
21,3,50043
21,4,50615
21,5,100587
21,6,154214
21,7,200717
21,8,251387
22,1,50005
22,2,50009
22,3,49831
22,4,50568
22,5,100807
22,6,164991
22,7,200455
22,8,251843
23,1,50006
23,2,50026
23,3,103775
23,4,158051
23,5,224915
23,6,271814
23,7,310489
23,8,356471
24,1,50528
24,2,50531
24,3,109900
24,4,166976
24,5,229487
24,6,274250
24,7,311147
24,8,356627
25,1,50003
25,2,50544
25,3,105516
25,4,161333
25,5,227945
25,6,265384
25,7,312063
25,8,356839
26,1,49906
26,2,51049
26,3,50702
26,4,50854
26,5,100896
26,6,157573
26,7,206882
26,8,252176
27,1,49973
27,2,50716
27,3,103492
27,4,170576
27,5,224177
27,6,271311
27,7,313541
27,8,355638
28,1,50010
28,2,50016
28,3,50933
28,4,50465
28,5,100845
28,6,160562
28,7,203150
28,8,256272
29,1,50459
29,2,51053
29,3,100596
29,4,163431
29,5,222242
29,6,267473
29,7,310421
29,8,356396
30,1,50008
30,2,51080
30,3,100477
30,4,150277
30,5,220685
30,6,274272
30,7,311305
30,8,357066
31,1,50001
31,2,50534
31,3,50033
31,4,50801
31,5,100658
31,6,183726
31,7,208789
31,8,258306
32,1,50010
32,2,50558
32,3,50764
32,4,50724
32,5,100070
32,6,175013
32,7,235226
32,8,251164
33,1,50008
33,2,51051
33,3,100654
33,4,150738
33,5,216508
33,6,266401
33,7,309297
33,8,356167
34,1,50005
34,2,50543
34,3,100223
34,4,171925
34,5,221752
34,6,274324
34,7,309910
34,8,355851
35,1,49998
35,2,51054
35,3,100683
35,4,156618
35,5,228186
35,6,269097
35,7,311088
35,8,357837
36,1,50010
36,2,51040
36,3,49883
36,4,50595
36,5,100859
36,6,150881
36,7,205629
36,8,252838
37,1,50002
37,2,50726
37,3,100413
37,4,158695
37,5,227198
37,6,263218
37,7,308745
37,8,355857
38,1,50019
38,2,50685
38,3,100472
38,4,166343
38,5,225298
38,6,276936
38,7,315152
38,8,355022
39,1,50010
39,2,50029
39,3,104746
39,4,153554
39,5,228029
39,6,273424
39,7,309325
39,8,357529
40,1,51030
40,2,50012
40,3,100475
40,4,172984
40,5,222213
40,6,270256
40,7,314343
40,8,357065
41,1,50006
41,2,50020
41,3,50049
41,4,50504
41,5,100535
41,6,161157
41,7,205960
41,8,251775
42,1,50008
42,2,50032
42,3,51118
42,4,51286
42,5,100812
42,6,200244
42,7,234850
42,8,252904
43,1,50005
43,2,49882
43,3,49976
43,4,50432
43,5,50435
43,6,50730
43,7,100839
43,8,162056
44,1,50005
44,2,49854
44,3,49846
44,4,50123
44,5,49998
44,6,50737
44,7,50605
44,8,50758
45,1,50007
45,2,50014
45,3,50434
45,4,50435
45,5,105927
45,6,173723
45,7,222413
45,8,268257
46,1,50008
46,2,50022
46,3,50568
46,4,49994
46,5,50495
46,6,50624
46,7,100666
46,8,172278
47,1,50010
47,2,50019
47,3,50020
47,4,50049
47,5,50652
47,6,51414
47,7,104264
47,8,165494
48,1,50004
48,2,49972
48,3,50539
48,4,50010
48,5,50075
48,6,50476
48,7,51513
48,8,50603
49,1,50004
49,2,50522
49,3,50535
49,4,50384
49,5,106626
49,6,176543
49,7,213528
49,8,262742
50,1,49903
50,2,50477
50,3,50029
50,4,50886
50,5,49950
50,6,50673
50,7,100973
50,8,156954
51,1,50003
51,2,50020
51,3,50100
51,4,50567
51,5,50701
51,6,50743
51,7,104515
51,8,171685
52,1,50001
52,2,50015
52,3,50028
52,4,50596
52,5,50347
52,6,50123
52,7,50584
52,8,50685
53,1,50519
53,2,50022
53,3,49970
53,4,50718
53,5,101653
53,6,168580
53,7,224360
53,8,262751
54,1,50006
54,2,50047
54,3,50074
54,4,50609
54,5,50584
54,6,50364
54,7,156252
54,8,217016
55,1,49941
55,2,49945
55,3,50812
55,4,50685
55,5,101923
55,6,205106
55,7,310255
55,8,378505
56,1,50008
56,2,50089
56,3,51046
56,4,50649
56,5,103401
56,6,158134
56,7,180749
56,8,193367
57,1,50006
57,2,50025
57,3,50025
57,4,50664
57,5,50587
57,6,51276
57,7,161199
57,8,212528
58,1,50003
58,2,50537
58,3,51223
58,4,50459
58,5,50850
58,6,93961
58,7,179652
58,8,253660
59,1,49974
59,2,50886
59,3,50093
59,4,50512
59,5,105225
59,6,160735
59,7,264503
59,8,315269
60,1,50005
60,2,50017
60,3,50061
60,4,49953
60,5,50706
60,6,103816
60,7,149140
60,8,186915
61,1,50009
61,2,50012
61,3,50026
61,4,50569
61,5,105016
61,6,152903
61,7,181456
61,8,211239
62,1,50008
62,2,50008
62,3,49990
62,4,50723
62,5,50525
62,6,50980
62,7,141998
62,8,107114
63,1,50002
63,2,50441
63,3,50839
63,4,50808
63,5,105003
63,6,200633
63,7,304160
63,8,356066
64,1,50008
64,2,50091
64,3,50618
64,4,50627
64,5,50573
64,6,53098
64,7,156925
64,8,246147
65,1,49998
65,2,50371
65,3,51079
65,4,50468
65,5,108107
65,6,204796
65,7,324061
65,8,368332
66,1,50013
66,2,50089
66,3,50040
66,4,50578
66,5,103266
66,6,149386
66,7,245800
66,8,287927
67,1,50004
67,2,49984
67,3,50487
67,4,50429
67,5,50732
67,6,52036
67,7,157068
67,8,206406
68,1,50010
68,2,50027
68,3,50359
68,4,50032
68,5,50449
68,6,101360
68,7,145733
68,8,149218
69,1,50012
69,2,50015
69,3,50064
