inject_after,assoc,baseline,cutoff
1,,50692,
2,,50343,
3,,51037,
4,,50006,
5,,50015,
6,4.0,49990,74990.0
7,,50473,
8,4.0,50004,75004.0
9,,49855,
10,,50008,
11,4.0,50014,75014.0
12,4.0,49978,74978.0
13,,49913,
14,,50629,
15,,50012,
16,4.0,50039,75039.0
17,,51038,
18,,49970,
19,,50008,
20,,50505,
21,4.0,50012,75012.0
22,4.0,49898,74898.0
23,,50518,
24,,51014,
25,,50010,
26,4.0,50002,75002.0
27,,50003,
28,4.0,50010,75010.0
29,,50010,
30,,50003,
31,4.0,50007,75007.0
32,4.0,50518,75518.0
33,,49966,
34,,51032,
35,,50013,
36,4.0,49986,74986.0
37,,50013,
38,,50485,
39,,50688,
40,,50009,
41,4.0,50006,75006.0
42,4.0,50052,75052.0
43,6.0,50008,75008.0
44,8.0,49974,74974.0
45,4.0,50011,75011.0
46,6.0,50001,75001.0
47,6.0,50000,75000.0
48,8.0,50002,75002.0
49,4.0,49953,74953.0
50,6.0,50006,75006.0
51,6.0,50013,75013.0
52,8.0,50006,75006.0
53,4.0,50006,75006.0
54,6.0,50077,75077.0
55,4.0,50006,75006.0
56,4.0,50002,75002.0
57,6.0,50002,75002.0
58,5.0,50514,75514.0
59,4.0,50008,75008.0
60,5.0,50009,75009.0
61,4.0,50003,75003.0
62,6.0,50001,75001.0
63,4.0,50428,75428.0
64,6.0,49998,74998.0
65,4.0,50007,75007.0
66,4.0,49895,74895.0
67,6.0,50010,75010.0
68,5.0,50004,75004.0
69,6.0,50018,75018.0
70,5.0,49898,74898.0
71,4.0,50003,75003.0
72,6.0,50000,75000.0
73,5.0,50016,75016.0
74,6.0,50002,75002.0
75,4.0,49830,74830.0
76,4.0,50004,75004.0
77,6.0,50002,75002.0
78,5.0,50001,75001.0
79,6.0,49998,74998.0
80,5.0,49999,74999.0
81,,49998,
82,6.0,50004,75004.0
83,5.0,50000,75000.0
84,6.0,49994,74994.0
85,5.0,50007,75007.0
86,,50011,
87,4.0,50001,75001.0
88,5.0,50004,75004.0
89,6.0,49996,74996.0
90,5.0,50002,75002.0
91,,50008,
92,4.0,50002,75002.0
93,4.0,50000,75000.0
94,4.0,50296,75296.0
95,,50235,
96,,50240,
97,,50237,
98,,50238,
