inject_after,phr_pos,nbranches,rc5
0,99,1,50007
0,99,2,50016
0,99,3,50534
0,99,4,50855
0,99,5,100230
0,99,6,168952
0,99,7,209845
0,99,8,252844
1,98,1,49950
1,98,2,50527
1,98,3,100080
1,98,4,162937
1,98,5,224462
1,98,6,275071
1,98,7,308930
1,98,8,356714
2,97,1,50003
2,97,2,50016
2,97,3,106921
2,97,4,160957
2,97,5,218259
2,97,6,267602
2,97,7,309854
2,97,8,357912
3,96,1,49949
3,96,2,50468
3,96,3,100300
3,96,4,152576
3,96,5,228993
3,96,6,273710
3,96,7,308297
3,96,8,355484
4,95,1,51039
4,95,2,50693
4,95,3,100651
4,95,4,160096
4,95,5,221186
4,95,6,269081
4,95,7,312437
4,95,8,355089
5,94,1,50001
5,94,2,50535
5,94,3,100168
5,94,4,150487
5,94,5,224061
5,94,6,273755
5,94,7,309158
5,94,8,355887
6,93,1,49848
6,93,2,49995
6,93,3,50027
6,93,4,50602
6,93,5,128291
6,93,6,165356
6,93,7,211593
6,93,8,254686
7,92,1,50018
7,92,2,51036
7,92,3,103011
7,92,4,150461
7,92,5,227665
7,92,6,270888
7,92,7,310847
7,92,8,357915
8,91,1,50004
8,91,2,50360
8,91,3,104562
8,91,4,159921
8,91,5,225079
8,91,6,269701
8,91,7,310347
8,91,8,356588
9,90,1,50006
9,90,2,51000
9,90,3,105229
9,90,4,162775
9,90,5,225152
9,90,6,278998
9,90,7,310075
9,90,8,355980
10,89,1,49961
10,89,2,50016
10,89,3,107177
10,89,4,173132
10,89,5,226139
10,89,6,273155
10,89,7,309004
10,89,8,357528
11,88,1,49965
11,88,2,50546
11,88,3,50696
11,88,4,50749
11,88,5,100649
11,88,6,157785
11,88,7,215196
11,88,8,251420
12,87,1,50011
12,87,2,50730
12,87,3,101028
12,87,4,150708
12,87,5,229001
12,87,6,266212
12,87,7,309977
12,87,8,356336
13,86,1,51030
13,86,2,50711
13,86,3,101710
13,86,4,162986
13,86,5,219721
13,86,6,272657
13,86,7,311026
13,86,8,355895
14,85,1,50515
14,85,2,50755
14,85,3,100306
14,85,4,164118
14,85,5,220519
14,85,6,277032
14,85,7,307764
14,85,8,357353
15,84,1,49960
15,84,2,50048
15,84,3,100677
15,84,4,161076
15,84,5,223157
15,84,6,264976
15,84,7,310948
15,84,8,358669
16,83,1,49996
16,83,2,50020
16,83,3,50034
16,83,4,50571
16,83,5,100789
16,83,6,154792
16,83,7,207991
16,83,8,254239
17,82,1,50002
17,82,2,50417
17,82,3,100622
17,82,4,164075
17,82,5,225453
17,82,6,274228
17,82,7,308510
17,82,8,356129
18,81,1,50006
18,81,2,49874
18,81,3,100704
18,81,4,157332
18,81,5,223718
18,81,6,276579
18,81,7,312959
18,81,8,356760
19,80,1,50007
19,80,2,49965
19,80,3,100287
19,80,4,165102
19,80,5,208802
19,80,6,278060
19,80,7,310467
19,80,8,357125
20,79,1,50009
20,79,2,50535
20,79,3,103812
20,79,4,150661
20,79,5,226044
20,79,6,269841
20,79,7,312821
20,79,8,356042
21,78,1,50008
21,78,2,51156
21,78,3,50546
21,78,4,100506
21,78,5,100462
21,78,6,158895
21,78,7,202049
21,78,8,256634
22,77,1,50006
22,77,2,49980
22,77,3,104481
22,77,4,164981
22,77,5,207076
22,77,6,279083
22,77,7,310848
22,77,8,356649
23,76,1,50011
23,76,2,51042
23,76,3,100546
23,76,4,150541
23,76,5,214087
23,76,6,279503
23,76,7,310632
23,76,8,356724
24,75,1,50494
24,75,2,50522
24,75,3,102836
24,75,4,158642
24,75,5,222990
24,75,6,272551
24,75,7,310812
24,75,8,356862
25,74,1,50002
25,74,2,50536
25,74,3,108343
25,74,4,162365
25,74,5,219874
25,74,6,274779
25,74,7,310228
25,74,8,356678
26,73,1,49978
26,73,2,49954
26,73,3,51001
26,73,4,50529
26,73,5,100685
26,73,6,150338
26,73,7,205561
26,73,8,254981
27,72,1,50476
27,72,2,50706
27,72,3,100225
27,72,4,171033
27,72,5,209811
27,72,6,271651
27,72,7,309877
27,72,8,355712
28,71,1,50007
28,71,2,50024
28,71,3,104131
28,71,4,170724
28,71,5,223361
28,71,6,272291
28,71,7,308960
28,71,8,356613
29,70,1,50006
29,70,2,50534
29,70,3,101069
29,70,4,172554
29,70,5,223777
29,70,6,266094
29,70,7,311785
29,70,8,355514
30,69,1,50010
30,69,2,50377
30,69,3,102690
30,69,4,153285
30,69,5,221125
30,69,6,267310
30,69,7,310140
30,69,8,406611
31,68,1,50003
31,68,2,50780
31,68,3,49977
31,68,4,50516
31,68,5,100771
31,68,6,150939
31,68,7,219029
31,68,8,255521
32,67,1,50016
32,67,2,50552
32,67,3,100770
32,67,4,160300
32,67,5,219591
32,67,6,272832
32,67,7,311219
32,67,8,357948
33,66,1,50007
33,66,2,50602
33,66,3,101871
33,66,4,150549
33,66,5,224966
33,66,6,271815
33,66,7,307284
33,66,8,357114
34,65,1,50004
34,65,2,50430
34,65,3,100621
34,65,4,168327
34,65,5,221709
34,65,6,275088
34,65,7,310480
34,65,8,355994
35,64,1,50690
35,64,2,51045
35,64,3,103741
35,64,4,165392
35,64,5,221496
35,64,6,275519
35,64,7,309728
35,64,8,355548
36,63,1,50344
36,63,2,50018
36,63,3,50509
36,63,4,50546
36,63,5,100433
36,63,6,154379
36,63,7,206254
36,63,8,256170
37,62,1,50007
37,62,2,50014
37,62,3,101407
37,62,4,155898
37,62,5,223529
37,62,6,265691
37,62,7,306687
37,62,8,357541
38,61,1,50005
38,61,2,49996
38,61,3,106298
38,61,4,165276
38,61,5,218474
38,61,6,262800
38,61,7,309351
38,61,8,355343
39,60,1,50008
39,60,2,50768
39,60,3,107120
39,60,4,157976
39,60,5,220249
39,60,6,268307
39,60,7,309323
39,60,8,357634
40,59,1,50018
40,59,2,50013
40,59,3,100489
40,59,4,163768
40,59,5,218126
40,59,6,268547
40,59,7,312181
40,59,8,355662
41,58,1,50005
41,58,2,49988
41,58,3,50552
41,58,4,50592
41,58,5,100662
41,58,6,156784
41,58,7,202490
41,58,8,256421
42,57,1,50014
42,57,2,50036
42,57,3,104085
42,57,4,156972
42,57,5,223998
42,57,6,273547
42,57,7,312683
42,57,8,356292
43,56,1,50013
43,56,2,50326
43,56,3,50536
43,56,4,50524
43,56,5,50615
43,56,6,100708
43,56,7,100835
43,56,8,156655
44,55,1,49967
44,55,2,50472
44,55,3,50348
44,55,4,50547
44,55,5,106617
44,55,6,172854
44,55,7,220694
44,55,8,267214
45,54,1,50011
45,54,2,49997
45,54,3,50471
45,54,4,50867
45,54,5,100629
45,54,6,167966
45,54,7,229457
45,54,8,261214
46,53,1,50005
46,53,2,50472
46,53,3,49974
46,53,4,50626
46,53,5,50540
46,53,6,50657
46,53,7,101043
46,53,8,169931
47,52,1,50007
47,52,2,50023
47,52,3,50628
47,52,4,50592
47,52,5,50468
47,52,6,100593
47,52,7,101611
47,52,8,152635
48,51,1,50428
48,51,2,49956
48,51,3,50242
48,51,4,50499
48,51,5,104281
48,51,6,171547
48,51,7,217911
48,51,8,258409
49,50,1,50007
49,50,2,50022
49,50,3,50523
49,50,4,50429
49,50,5,100704
49,50,6,163560
49,50,7,227994
49,50,8,267358
50,49,1,50016
50,49,2,49929
50,49,3,50388
50,49,4,50592
50,49,5,50539
50,49,6,50605
50,49,7,100927
50,49,8,210448
51,48,1,50006
51,48,2,50540
51,48,3,50067
51,48,4,49983
51,48,5,50488
51,48,6,50825
51,48,7,100285
51,48,8,163284
52,47,1,50009
52,47,2,50533
52,47,3,50554
52,47,4,50787
52,47,5,100816
52,47,6,158641
52,47,7,225910
52,47,8,259489
53,46,1,50018
53,46,2,50546
53,46,3,50551
53,46,4,50652
53,46,5,105243
53,46,6,159803
53,46,7,216287
53,46,8,259663
54,45,1,49958
54,45,2,50570
54,45,3,50032
54,45,4,50490
54,45,5,50810
54,45,6,51065
54,45,7,157313
54,45,8,246100
55,44,1,50004
55,44,2,50057
55,44,3,50033
55,44,4,50659
55,44,5,104683
55,44,6,215071
55,44,7,307820
55,44,8,383476
56,43,1,50005
56,43,2,49991
56,43,3,50041
56,43,4,51072
56,43,5,145780
56,43,6,150821
56,43,7,244396
56,43,8,313511
57,42,1,50003
57,42,2,49996
57,42,3,50647
57,42,4,50094
57,42,5,50856
57,42,6,50936
57,42,7,155902
57,42,8,209780
58,41,1,50004
58,41,2,50597
58,41,3,50333
58,41,4,50480
58,41,5,105619
58,41,6,213416
58,41,7,302787
58,41,8,355287
59,40,1,50007
59,40,2,50466
59,40,3,50620
59,40,4,50517
59,40,5,104429
59,40,6,163381
59,40,7,265884
59,40,8,314152
60,39,1,50524
60,39,2,50779
60,39,3,50043
60,39,4,50466
60,39,5,101186
60,39,6,209707
60,39,7,310556
60,39,8,382581
61,38,1,50010
61,38,2,50026
61,38,3,50512
61,38,4,50104
61,38,5,106521
61,38,6,150973
61,38,7,190368
61,38,8,259772
62,37,1,50001
62,37,2,50817
62,37,3,50892
62,37,4,50843
62,37,5,101315
62,37,6,207078
62,37,7,262965
62,37,8,313941
63,36,1,50004
63,36,2,50474
63,36,3,50696
63,36,4,50725
63,36,5,106785
63,36,6,209046
63,36,7,301580
63,36,8,355989
64,35,1,49978
64,35,2,50022
64,35,3,50561
64,35,4,49983
64,35,5,50750
64,35,6,51048
64,35,7,158878
64,35,8,248255
65,34,1,50011
65,34,2,50009
65,34,3,50558
65,34,4,50497
65,34,5,106037
65,34,6,212416
65,34,7,305025
65,34,8,389500
66,33,1,50008
66,33,2,49995
66,33,3,50337
66,33,4,50474
66,33,5,104498
66,33,6,155483
66,33,7,234642
66,33,8,315927
67,32,1,50010
67,32,2,50022
67,32,3,50800
67,32,4,50615
67,32,5,101813
67,32,6,65631
67,32,7,190773
67,32,8,209865
68,31,1,50011
68,31,2,49963
68,31,3,50796
68,31,4,50731
68,31,5,50083
68,31,6,95238
68,31,7,128839
68,31,8,150530
69,30,1,49964
69,30,2,50713
69,30,3,50031
69,30,4,50508
69,30,5,50720
69,30,6,50852
69,30,7,163629
69,30,8,237196
70,29,1,50008
70,29,2,50035
70,29,3,49968
70,29,4,50561
70,29,5,51394
70,29,6,102427
70,29,7,199319
70,29,8,281619
71,28,1,49958
71,28,2,49878
71,28,3,51017
71,28,4,49840
71,28,5,104691
71,28,6,155042
71,28,7,181291
71,28,8,210243
72,27,1,50001
72,27,2,49933
72,27,3,50653
72,27,4,57755
72,27,5,51893
72,27,6,52611
72,27,7,130992
72,27,8,103346
73,26,1,50002
73,26,2,50009
73,26,3,50783
73,26,4,50648
73,26,5,50328
73,26,6,106941
73,26,7,139524
73,26,8,170435
74,25,1,50005
74,25,2,50067
74,25,3,49922
74,25,4,50675
74,25,5,50703
74,25,6,51299
74,25,7,105780
74,25,8,155894
75,24,1,50014
75,24,2,49899
75,24,3,49928
75,24,4,50564
75,24,5,50673
75,24,6,106153
75,24,7,201210
75,24,8,288849
76,23,1,50006
76,23,2,50042
76,23,3,50028
76,23,4,50645
76,23,5,104695
76,23,6,148416
76,23,7,191129
76,23,8,209875
77,22,1,49995
77,22,2,50139
77,22,3,50765
77,22,4,53268
77,22,5,52972
77,22,6,66800
77,22,7,111726
77,22,8,107284
78,21,1,50010
78,21,2,49996
78,21,3,50026
78,21,4,50718
78,21,5,50581
78,21,6,120856
78,21,7,144547
78,21,8,172189
79,20,1,50003
79,20,2,50424
79,20,3,50037
79,20,4,49971
79,20,5,50010
79,20,6,50704
79,20,7,158781
79,20,8,234105
80,19,1,50004
80,19,2,50333
80,19,3,49983
80,19,4,50476
80,19,5,50408
80,19,6,103030
80,19,7,201298
80,19,8,277520
81,18,1,50013
81,18,2,50044
81,18,3,53891
81,18,4,50043
81,18,5,151703
81,18,6,175765
81,18,7,183738
81,18,8,226835
82,17,1,50004
82,17,2,50250
82,17,3,50349
82,17,4,51899
82,17,5,53095
82,17,6,57543
82,17,7,136526
82,17,8,98081
83,16,1,50007
83,16,2,49964
83,16,3,49938
83,16,4,50953
83,16,5,51242
83,16,6,109564
83,16,7,143969
83,16,8,175668
84,15,1,49894
84,15,2,50065
84,15,3,50170
84,15,4,49930
84,15,5,50708
84,15,6,51129
84,15,7,105859
84,15,8,105192
85,14,1,50014
85,14,2,50013
85,14,3,50139
85,14,4,50054
85,14,5,51004
85,14,6,101956
85,14,7,148977
85,14,8,183767
86,13,1,50005
86,13,2,50810
86,13,3,50117
86,13,4,50304
86,13,5,102471
86,13,6,149299
86,13,7,181176
86,13,8,209648
87,12,1,50004
87,12,2,49995
87,12,3,50365
87,12,4,100538
87,12,5,83336
87,12,6,107261
87,12,7,121846
87,12,8,163887
88,11,1,49994
88,11,2,50045
88,11,3,51711
88,11,4,53350
88,11,5,53751
88,11,6,101862
88,11,7,145171
88,11,8,163866
89,10,1,50001
89,10,2,51036
89,10,3,51058
89,10,4,50962
89,10,5,51769
89,10,6,51151
89,10,7,105930
89,10,8,105454
90,9,1,50002
90,9,2,50012
90,9,3,50396
90,9,4,50443
90,9,5,52258
90,9,6,108574
90,9,7,169874
90,9,8,167787
91,8,1,50006
91,8,2,50102
91,8,3,49934
91,8,4,93223
91,8,5,131732
91,8,6,147195
91,8,7,159975
91,8,8,180212
92,7,1,49999
92,7,2,51615
92,7,3,53901
92,7,4,79063
92,7,5,103826
92,7,6,172004
92,7,7,189383
92,7,8,250190
93,6,1,50003
93,6,2,50072
93,6,3,51739
93,6,4,51275
93,6,5,51314
93,6,6,106118
93,6,7,152080
93,6,8,178235
94,5,1,50238
94,5,2,50041
94,5,3,50239
94,5,4,54491
94,5,5,100744
94,5,6,160645
94,5,7,155583
94,5,8,213907
95,4,1,50239
95,4,2,100213
95,4,3,101501
95,4,4,152695
95,4,5,161223
95,4,6,201902
95,4,7,205769
95,4,8,247632
96,3,1,50242
96,3,2,100401
96,3,3,107716
96,3,4,151881
96,3,5,153891
96,3,6,186603
96,3,7,186271
96,3,8,216412
97,2,1,50242
97,2,2,90462
97,2,3,117389
97,2,4,145176
97,2,5,167999
97,2,6,184899
97,2,7,201773
97,2,8,201795
98,1,1,50227
98,1,2,90458
98,1,3,119045
98,1,4,143381
98,1,5,167980
98,1,6,184873
98,1,7,201759
98,1,8,201775
