inject_after,phr_pos,max_captured_branches,baseline,cutoff
98,1,1,50227,60000
97,2,1,50242,60000
96,3,1,50242,60000
95,4,1,50239,60000
94,5,4,50238,60000
93,6,5,50003,60000
92,7,3,49999,60000
91,8,3,50006,60000
90,9,5,50002,60000
89,10,6,50001,60000
88,11,5,49994,60000
87,12,3,50004,60000
86,13,4,50005,60000
85,14,5,50014,60000
84,15,6,49894,60000
83,16,5,50007,60000
82,17,6,50004,60000
81,18,4,50013,60000
80,19,5,50004,60000
79,20,6,50003,60000
78,21,5,50010,60000
77,22,5,49995,60000
76,23,4,50006,60000
75,24,5,50014,60000
74,25,6,50005,60000
73,26,5,50002,60000
72,27,6,50001,60000
71,28,4,49958,60000
70,29,5,50008,60000
69,30,6,49964,60000
68,31,5,50011,60000
67,32,4,50010,60000
66,33,4,50008,60000
65,34,4,50011,60000
64,35,6,49978,60000
63,36,4,50004,60000
62,37,4,50001,60000
61,38,4,50010,60000
60,39,4,50524,60000
59,40,4,50007,60000
58,41,4,50004,60000
57,42,6,50003,60000
56,43,4,50005,60000
55,44,4,50004,60000
54,45,6,49958,60000
53,46,4,50018,60000
52,47,4,50009,60000
51,48,6,50006,60000
50,49,6,50016,60000
49,50,4,50007,60000
48,51,4,50428,60000
47,52,5,50007,60000
46,53,6,50005,60000
45,54,4,50011,60000
44,55,4,49967,60000
43,56,5,50013,60000
42,57,2,50014,60000
41,58,4,50005,60000
40,59,2,50018,60000
39,60,2,50008,60000
38,61,2,50005,60000
37,62,2,50007,60000
36,63,4,50344,60000
35,64,2,50690,60000
34,65,2,50004,60000
33,66,2,50007,60000
32,67,2,50016,60000
31,68,4,50003,60000
30,69,2,50010,60000
29,70,2,50006,60000
28,71,2,50007,60000
27,72,2,50476,60000
26,73,4,49978,60000
25,74,2,50002,60000
24,75,2,50494,60000
23,76,2,50011,60000
22,77,2,50006,60000
21,78,3,50008,60000
20,79,2,50009,60000
19,80,2,50007,60000
18,81,2,50006,60000
17,82,2,50002,60000
16,83,4,49996,60000
15,84,2,49960,60000
14,85,2,50515,60000
13,86,2,51030,60000
12,87,2,50011,60000
11,88,4,49965,60000
10,89,2,49961,60000
9,90,2,50006,60000
8,91,2,50004,60000
7,92,2,50018,60000
6,93,4,49848,60000
5,94,2,50001,60000
4,95,2,51039,60000
3,96,2,49949,60000
2,97,2,50003,60000
1,98,2,49950,60000
0,99,4,50007,60000
