align_bits,num_jumps,rc5,rc5_per_iter
2,67,150196,0.150196
2,68,150264,0.150264
2,69,151271,0.151271
2,70,150756,0.150756
2,71,150172,0.150172
2,72,151280,0.15128
2,73,151320,0.15132
2,74,150250,0.15025
2,75,150458,0.150458
2,76,150258,0.150258
2,77,150234,0.150234
2,78,150241,0.150241
2,79,150312,0.150312
2,80,150243,0.150243
2,81,150223,0.150223
2,82,150198,0.150198
2,83,150307,0.150307
2,84,151126,0.151126
2,85,150258,0.150258
2,86,150728,0.150728
2,87,150507,0.150507
2,88,150270,0.15027
2,89,150257,0.150257
2,90,151276,0.151276
2,91,150257,0.150257
2,92,150770,0.15077
2,93,150106,0.150106
2,94,150120,0.15012
2,95,150092,0.150092
2,96,200417,0.200417
2,97,200545,0.200545
2,98,200278,0.200278
2,99,200483,0.200483
2,100,200471,0.200471
2,101,200475,0.200475
3,67,150381,0.150381
3,68,150245,0.150245
3,69,150196,0.150196
3,70,150348,0.150348
3,71,150249,0.150249
3,72,150413,0.150413
3,73,150240,0.15024
3,74,150612,0.150612
3,75,150232,0.150232
3,76,150263,0.150263
3,77,150595,0.150595
3,78,150312,0.150312
3,79,150278,0.150278
3,80,150149,0.150149
3,81,150071,0.150071
3,82,150269,0.150269
3,83,150254,0.150254
3,84,150184,0.150184
3,85,150242,0.150242
3,86,150203,0.150203
3,87,150818,0.150818
3,88,150136,0.150136
3,89,150766,0.150766
3,90,150266,0.150266
3,91,150252,0.150252
3,92,150221,0.150221
3,93,150235,0.150235
3,94,150123,0.150123
3,95,150127,0.150127
3,96,150635,0.150635
3,97,200434,0.200434
3,98,200495,0.200495
3,99,200483,0.200483
3,100,200484,0.200484
3,101,200490,0.20049
4,67,150276,0.150276
4,68,150265,0.150265
4,69,150221,0.150221
4,70,150407,0.150407
4,71,150270,0.15027
4,72,150256,0.150256
4,73,150259,0.150259
4,74,150286,0.150286
4,75,150266,0.150266
4,76,150462,0.150462
4,77,150263,0.150263
4,78,150246,0.150246
4,79,150156,0.150156
4,80,150163,0.150163
4,81,150111,0.150111
4,82,150773,0.150773
4,83,150282,0.150282
4,84,150271,0.150271
4,85,150605,0.150605
4,86,151283,0.151283
4,87,150257,0.150257
4,88,150250,0.15025
4,89,150263,0.150263
4,90,150247,0.150247
4,91,150180,0.15018
4,92,150727,0.150727
4,93,150159,0.150159
4,94,150234,0.150234
4,95,150214,0.150214
4,96,200355,0.200355
4,97,200489,0.200489
4,98,200487,0.200487
4,99,200321,0.200321
4,100,200487,0.200487
4,101,200241,0.200241
5,67,150245,0.150245
5,68,150140,0.15014
5,69,150225,0.150225
5,70,150449,0.150449
5,71,150210,0.15021
5,72,150259,0.150259
5,73,150121,0.150121
5,74,150270,0.15027
5,75,150254,0.150254
5,76,150242,0.150242
5,77,150254,0.150254
5,78,150262,0.150262
5,79,150224,0.150224
5,80,150127,0.150127
5,81,150198,0.150198
5,82,150242,0.150242
5,83,150145,0.150145
5,84,150216,0.150216
5,85,150215,0.150215
5,86,150253,0.150253
5,87,150248,0.150248
5,88,150257,0.150257
5,89,150240,0.15024
5,90,150281,0.150281
5,91,150246,0.150246
5,92,150228,0.150228
5,93,150261,0.150261
5,94,150211,0.150211
5,95,200415,0.200415
5,96,200611,0.200611
5,97,200278,0.200278
5,98,200488,0.200488
5,99,200451,0.200451
5,100,200399,0.200399
5,101,200499,0.200499
6,67,150122,0.150122
6,68,150225,0.150225
6,69,150244,0.150244
6,70,150250,0.15025
6,71,150230,0.15023
6,72,150291,0.150291
6,73,150623,0.150623
6,74,150157,0.150157
6,75,150277,0.150277
6,76,150270,0.15027
6,77,150218,0.150218
6,78,150268,0.150268
6,79,150147,0.150147
6,80,150262,0.150262
6,81,150257,0.150257
6,82,150239,0.150239
6,83,150248,0.150248
6,84,150303,0.150303
6,85,150258,0.150258
6,86,150285,0.150285
6,87,150142,0.150142
6,88,150124,0.150124
6,89,150257,0.150257
6,90,150311,0.150311
6,91,150255,0.150255
6,92,150255,0.150255
6,93,150231,0.150231
6,94,200540,0.20054
6,95,200478,0.200478
6,96,200387,0.200387
6,97,200464,0.200464
6,98,200501,0.200501
6,99,200492,0.200492
6,100,200464,0.200464
6,101,200476,0.200476
7,67,150639,0.150639
7,68,150251,0.150251
7,69,150154,0.150154
7,70,150317,0.150317
7,71,150118,0.150118
7,72,150117,0.150117
7,73,150187,0.150187
7,74,150218,0.150218
7,75,150222,0.150222
7,76,150193,0.150193
7,77,150290,0.15029
7,78,150100,0.1501
7,79,149739,0.149739
7,80,150154,0.150154
7,81,150107,0.150107
7,82,150166,0.150166
7,83,150726,0.150726
7,84,150140,0.15014
7,85,150267,0.150267
7,86,150172,0.150172
7,87,150359,0.150359
7,88,150136,0.150136
7,89,150160,0.15016
7,90,150148,0.150148
7,91,150326,0.150326
7,92,150245,0.150245
7,93,200455,0.200455
7,94,200506,0.200506
7,95,199879,0.199879
7,96,200484,0.200484
7,97,200405,0.200405
7,98,200408,0.200408
7,99,200551,0.200551
7,100,200479,0.200479
7,101,200383,0.200383
8,67,150237,0.150237
8,68,150328,0.150328
8,69,150143,0.150143
8,70,150285,0.150285
8,71,150269,0.150269
8,72,150121,0.150121
8,73,150731,0.150731
8,74,150237,0.150237
8,75,150210,0.15021
8,76,150605,0.150605
8,77,150144,0.150144
8,78,150279,0.150279
8,79,150232,0.150232
8,80,150308,0.150308
8,81,150155,0.150155
8,82,150155,0.150155
8,83,150238,0.150238
8,84,150257,0.150257
8,85,150121,0.150121
8,86,150584,0.150584
8,87,150118,0.150118
8,88,150224,0.150224
8,89,150256,0.150256
8,90,150218,0.150218
8,91,150284,0.150284
8,92,200260,0.20026
8,93,200353,0.200353
8,94,200459,0.200459
8,95,200424,0.200424
8,96,200423,0.200423
8,97,200508,0.200508
8,98,200345,0.200345
8,99,200450,0.20045
8,100,200318,0.200318
8,101,200350,0.20035
9,67,150527,0.150527
9,68,150104,0.150104
9,69,150201,0.150201
9,70,150144,0.150144
9,71,150357,0.150357
9,72,150098,0.150098
9,73,150101,0.150101
9,74,150259,0.150259
9,75,150224,0.150224
9,76,150231,0.150231
9,77,150191,0.150191
9,78,150111,0.150111
9,79,150131,0.150131
9,80,150712,0.150712
9,81,150049,0.150049
9,82,151272,0.151272
9,83,150241,0.150241
9,84,150334,0.150334
9,85,150136,0.150136
9,86,150202,0.150202
9,87,150231,0.150231
9,88,150245,0.150245
9,89,150346,0.150346
9,90,150207,0.150207
9,91,200306,0.200306
9,92,200322,0.200322
9,93,200408,0.200408
9,94,200311,0.200311
9,95,200399,0.200399
9,96,200399,0.200399
9,97,200458,0.200458
9,98,200269,0.200269
9,99,200477,0.200477
9,100,200398,0.200398
9,101,200562,0.200562
10,67,150192,0.150192
10,68,150154,0.150154
10,69,150096,0.150096
10,70,150220,0.15022
10,71,150258,0.150258
10,72,150224,0.150224
10,73,150304,0.150304
10,74,150306,0.150306
10,75,150190,0.15019
10,76,150274,0.150274
10,77,150309,0.150309
10,78,150267,0.150267
10,79,150143,0.150143
10,80,150199,0.150199
10,81,150457,0.150457
10,82,150128,0.150128
10,83,150283,0.150283
10,84,151277,0.151277
10,85,150232,0.150232
10,86,150343,0.150343
10,87,150492,0.150492
10,88,150239,0.150239
10,89,150238,0.150238
10,90,200514,0.200514
10,91,200357,0.200357
10,92,200316,0.200316
10,93,200600,0.2006
10,94,200467,0.200467
10,95,200330,0.20033
10,96,200361,0.200361
10,97,200405,0.200405
10,98,200439,0.200439
10,99,200370,0.20037
10,100,200428,0.200428
10,101,200433,0.200433
11,67,150251,0.150251
11,68,150252,0.150252
11,69,150176,0.150176
11,70,150348,0.150348
11,71,150221,0.150221
11,72,150210,0.15021
11,73,150309,0.150309
11,74,150179,0.150179
11,75,150191,0.150191
11,76,150133,0.150133
11,77,150142,0.150142
11,78,150505,0.150505
11,79,150260,0.15026
11,80,150148,0.150148
11,81,150161,0.150161
11,82,150147,0.150147
11,83,150216,0.150216
11,84,150148,0.150148
11,85,151001,0.151001
11,86,150150,0.15015
11,87,150142,0.150142
11,88,150253,0.150253
11,89,200390,0.20039
11,90,200423,0.200423
11,91,200467,0.200467
11,92,200361,0.200361
11,93,200477,0.200477
11,94,200403,0.200403
11,95,200457,0.200457
11,96,200457,0.200457
11,97,200540,0.20054
11,98,200437,0.200437
11,99,200416,0.200416
11,100,200285,0.200285
11,101,200244,0.200244
12,67,150685,0.150685
12,68,150494,0.150494
12,69,150218,0.150218
12,70,150253,0.150253
12,71,150745,0.150745
12,72,150657,0.150657
12,73,150268,0.150268
12,74,150165,0.150165
12,75,150182,0.150182
12,76,150203,0.150203
12,77,150190,0.15019
12,78,150146,0.150146
12,79,150159,0.150159
12,80,150191,0.150191
12,81,150301,0.150301
12,82,150121,0.150121
12,83,150654,0.150654
12,84,150933,0.150933
12,85,150258,0.150258
12,86,150144,0.150144
12,87,150236,0.150236
12,88,200530,0.20053
12,89,200478,0.200478
12,90,200404,0.200404
12,91,200384,0.200384
12,92,200480,0.20048
12,93,200342,0.200342
12,94,200325,0.200325
12,95,200359,0.200359
12,96,200453,0.200453
12,97,200493,0.200493
12,98,200322,0.200322
12,99,200623,0.200623
12,100,200386,0.200386
12,101,200390,0.20039
13,67,150519,0.150519
13,68,150315,0.150315
13,69,150156,0.150156
13,70,150052,0.150052
13,71,150464,0.150464
13,72,150366,0.150366
13,73,150270,0.15027
13,74,150227,0.150227
13,75,150282,0.150282
13,76,150625,0.150625
13,77,150228,0.150228
13,78,150308,0.150308
